city,state,condo_coop
Columbus, WI,
Commack, NY,102.3%
Commerce City, CO,100.0%
Como, WI,102.0%
Compton, CA,
Comstock Park, MI,100.0%
Concord, CA,98.1%
Concord, MA,
Concord, MO,103.6%
Concord, NC,96.2%
Concord, NH,100.8%
Concord, NY,
Concordia, NJ,
Congers, NY,
Conley, GA,
Conneaut Lakeshore, PA,
Conneaut, OH,
Connecticut,,102.7%
Conning Towers-Nautilus Park, CT,
Conover, NC,
Conroe, TX,98.6%
Conshohocken, PA,103.1%
Contoocook, NH,
Contra Costa Centre, CA,101.0%
Conway, AR,96.2%
Conway, FL,96.9%
Conway, SC,97.5%
Conyers, GA,
Cookeville, TN,
Coolidge, AZ,
Coon Rapids, MN,100.0%
Cooper City, FL,100.0%
Coopersville, MI,
Coos Bay, OR,96.2%
Copiague, NY,99.0%
Coppell, TX,
Copper Mountain, CO,97.0%
Coral Gables, FL,95.8%
Coral Hills, MD,
Coral Springs, FL,98.0%
Coral Terrace, FL,
Coralville, IA,96.8%
Coram, MT,
Coram, NY,100.7%
Coraopolis, PA,
Corbin, KY,
Cordaville, MA,
Cornelia, GA,
Cornelius, NC,97.4%
Corning, CA,
Cornwall, NY,
Corona del Mar, CA,
Corona, CA,99.7%
Coronado, CA,97.5%
Corsicana, TX,
Corte Madera, CA,107.3%
Cortez, FL,94.1%
Cortland, IL,
Cortland, NY,
Cortland, OH,98.6%
Cortlandt, NY,100.0%
Cortlandville, NY,
Corvallis, OR,97.8%
Cos Cob, CT,102.3%
Cosby, TN,
Coshocton, OH,
Costa Mesa, CA,100.0%
Cotati, CA,
Coto de Caza, CA,97.9%
Cottage Grove, WI,
Cottage Lake, WA,
Cottleville, MO,98.5%
Cottonwood Heights, UT,99.5%
Cottonwood, AZ,
Cottonwood, CO,99.4%
Council Bluffs, IA,
Country Club Estates, GA,
Country Club Hills, IL,94.2%
Country Club, CA,
Country Club, FL,96.0%
Country Walk, FL,98.3%
Countryside, IL,98.6%
Countryside, VA,100.0%
County Center, VA,
Coupeville, WA,95.5%
Covedale, OH,102.7%
Coventry, RI,105.6%
Covina, CA,100.0%
Covington, GA,
Covington, KY,97.3%
Covington, LA,
Crab Orchard, TN,
Craig Beach, OH,
Cranbury, NJ,
Cranford, NJ,
Cranston, RI,99.7%
Crawford, NY,
Crawfordsville, IN,100.0%
Crescent Bar, WA,96.3%
Crescent Beach, FL,92.5%
Crescent City, CA,
Crescent Springs, KY,98.2%
Cresskill, NJ,
Crest Hill, IL,101.1%
Crestline, CA,
Crestview Hills, KY,
Crestwood Village, NJ,
Crestwood, IL,101.6%
Crestwood, KY,98.8%
Crestwood, MO,99.6%
Crete, IL,
Creve Coeur, MO,99.6%
Cripple Creek, CO,
Crivitz, WI,
Crofton, MD,100.0%
Crompond, NY,
Croom, MD,
Crosby Township, OH,94.7%
Crosby, TX,
Cross Lanes, WV,
Cross Plains, WI,
Crosslake, MN,
Crossville, TN,
Croton-on-Hudson, NY,
Crown Heights, NY,94.4%
Crown Point, IN,97.8%
Crystal Bay, NV,
Crystal Lake Park, MO,96.3%
Crystal Lake, IL,99.9%
Crystal Mountain, MI,102.3%
Crystal River, FL,87.9%
Crystal, MN,
Cudahy, CA,
Cudahy, WI,100.1%
Cullman, AL,
Cullowhee, NC,
Culver City, CA,100.7%
Culver, IN,
Cumberland Center, ME,
Cumberland Hill, RI,95.8%
Cumberland, IN,99.3%
Cumberland, RI,97.2%
Cumming, GA,94.2%
Cupertino, CA,99.5%
Cutchogue, NY,
Cutler Bay, FL,97.7%
Cutlerville, MI,99.2%
Cuyahoga Falls, OH,102.1%
Cypress Gardens, FL,94.8%
Cypress Lake, FL,91.3%
Cypress, CA,106.2%
Dade City, FL,
Dadeville, AL,
Dakota Ridge, CO,99.4%
Dale City, VA,99.0%
Dallas, GA,
Dallas, OR,
Dallas, PA,
Dallas, TX,96.7%
Dalton, GA,100.4%
Dalton, MA,98.8%
Dalton, OH,
Daly City, CA,100.0%
Damascus, MD,
Dana Point, CA,96.4%
Danbury, CT,100.6%
Dandridge, TN,
Dania Beach, FL,97.1%
Daniels Farm, CT,100.0%
Danielson, CT,110.3%
Danvers, MA,101.0%
Danville, CA,99.9%
Danville, IL,
Danville, IN,95.3%
Danville, KY,
Danville, PA,
Danville, VA,
Daphne, AL,94.5%
Dardanelle, AR,
Dardenne Prairie, MO,104.0%
Darien Downtown, CT,100.7%
Darien, CT,100.7%
Darien, GA,97.1%
Darien, IL,103.2%
Darien, WI,
Dartmouth, MA,100.0%
Daufuskie Island, SC,92.7%
Dauphin Island, AL,
Davenport, FL,97.9%
Davenport, IA,98.0%
Davidson, NC,97.4%
Davie, FL,96.7%
Davis, CA,99.7%
Davison, MI,
Dawsonville, GA,
Dayton, KY,95.0%
Dayton, NJ,
Dayton, NV,
Dayton, OH,
Daytona Beach Shores, FL,94.8%
Daytona Beach, FL,93.3%
De Motte, IN,
De Pere, WI,103.0%
De Soto, IA,
De Witt, NY,100.0%
Deal, NJ,
Dearborn Heights, MI,97.9%
Dearborn, MI,99.5%
DeBary, FL,
DeBordieu Colony, SC,
Decatur, GA,96.7%
Decatur, IL,97.4%
Decatur, IN,
DeCordova, TX,
Dedham, MA,
Deep River Center, CT,
Deer Park, NY,106.6%
Deer Park, WA,97.1%
Deerfield Beach, FL,94.8%
Deerfield, IL,95.8%
Deerfield, MA,
Deerwood, MN,
Defiance, OH,101.5%
Deforest, WI,98.4%
DeKalb, IL,91.2%
Del Mar, CA,
Del Monte Forest, CA,
Del Rey Oaks, CA,
Del Rio, CA,
Del Rio, TX,
Delafield, WI,103.6%
DeLand, FL,100.0%
Delavan Lake, WI,98.0%
Delavan, WI,99.7%
Delaware,,96.7%
Delaware, OH,97.6%
Delhi Hills, OH,
Delhi Township, OH,99.6%
Delphos, OH,
Delray Beach, FL,93.6%
Deltona, FL,96.4%
Demarest, NJ,
Deming, WA,
Denmark, WI,
Dennis Port, MA,94.9%
Dennis, MA,99.9%
Dennison, OH,
Dent, OH,98.0%
Denton, TX,
Denver, CO,97.9%
Denver, IA,
Depew, NY,
Depoe Bay, OR,
Derby, CT,100.9%
Derby, KS,
Derry, NH,101.6%
Derry, PA,
Des Moines, IA,96.9%
Des Moines, WA,98.5%
Des Plaines, IL,99.8%
Desert Edge, CA,
Desloge, MO,
Destin, FL,95.3%
Destrehan, LA,
Detroit Beach, MI,
Detroit, MI,96.6%
Devens, MA,
Devola, OH,
Devon, PA,
Dewey, OK,
DeWitt, IA,
DeWitt, MI,
Dexter, MI,100.5%
Diamond Bar, CA,100.5%
Diamond Beach, NJ,100.0%
Diamond Springs, CA,97.6%
Diamondhead, MS,98.7%
Dickinson, ND,
Dickinson, NY,
Dickinson, TX,
Dickson, TN,
Dighton, MA,106.7%
Dike, IA,
Dillon, CO,96.6%
Discovery Bay, CA,97.2%
District Heights, MD,
Dix Hills, NY,
Dixon, IL,
Dobbs Ferry, NY,107.1%
Dock Junction, GA,
Doctor Phillips, FL,
Dodgeville, WI,
Doe Valley, KY,
Dollar Point, CA,104.9%
Dolton, IL,100.0%
Doral, FL,96.1%
Doraville, GA,
Douglas, MA,
Douglas, MI,97.0%
Douglass Hills, KY,
Douglassville, PA,96.2%
Douglasville, GA,
Dove Valley, CO,100.0%
Dover Beaches North, NJ,
Dover Beaches South, NJ,
Dover, DE,91.7%
Dover, ID,
Dover, MA,
Dover, NH,100.9%
Dover, OH,
Dover, TN,
Downers Grove, IL,99.0%
Downey, CA,98.5%
Downingtown, PA,
Doylestown, OH,
Doylestown, PA,
Dracut, MA,99.0%
Draper, UT,99.9%
Dresden, OH,
Driggs, ID,
Dripping Springs, TX,
Druid Hills, GA,
Drum Point, MD,
Dry Ridge, KY,
Dry Ridge, OH,97.9%
Duarte, CA,102.1%
Dublin, CA,101.3%
Dublin, OH,100.7%
Dublin, PA,97.8%
Dubuque, IA,94.2%
Duck Key, FL,
Duck, NC,92.3%
Dudley, MA,
Duluth, GA,97.6%
Dumbarton, VA,97.9%
Dumfries, VA,
Dunbar, WV,
Duncan, OK,
Duncanville, TX,
Dundee, MI,100.1%
Dunedin, FL,95.0%
Dunellen, NJ,
Dunnellon, FL,
Dunstan, ME,111.3%
Dunwoody, GA,98.9%
DuPont, WA,99.3%
Duquesne, PA,
Durango, CO,97.6%
Durham, CA,104.0%
Durham, CT,
Durham, NC,98.7%
Durham, NH,100.0%
Duvall, WA,
Duxbury, MA,
Dyckesville, WI,
Dyer, IN,
Dyersville, IA,
Eagan, MN,104.0%
Eagle Crest, OR,
Eagle Lake, WI,
Eagle Mountain, UT,100.7%
Eagle, CO,
Eagle, ID,
Eagle, WI,
Eagleview, PA,
Eagleville, PA,
Easley, SC,
East Aurora, NY,102.0%
East Basin, UT,99.2%
East Bridgewater, MA,100.0%
East Camden, AR,
East Chicago, IN,
East Dennis, MA,
East Douglas, MA,
East Dundee, IL,100.0%
East Falmouth, MA,
East Farmingdale, NY,
East Fishkill, NY,
East Freehold, NJ,
East Garden City, NY,97.6%
East Glenville, NY,
East Grand Rapids, MI,107.7%
East Greenwich, RI,102.6%
East Hampton, CT,
East Hampton, NY,
East Hartford, CT,104.0%
East Haven, CT,99.5%
East Helena, MT,
East Hemet, CA,
East Highland Park, VA,
East Hill-Meridian, WA,
East Honolulu, HI,97.5%
East Hope, ID,
East Islip, NY,100.0%
East Ithaca, NY,98.4%
East Kapolei, HI,99.8%
East Lake-Orient Park, FL,88.6%
East Lake, FL,97.0%
East Lansing, MI,98.8%
East Marion, NY,
East Massapequa, NY,
East Meadow, NY,103.0%
East Merrimack, NH,101.5%
East Moline, IL,95.4%
East Moriches, NY,
East Niles, CA,
East Norriton, PA,
East Orange, NJ,106.4%
East Palatka, FL,
East Palestine, OH,
East Palo Alto, CA,100.0%
East Pasadena, CA,
East Patchogue, NY,
East Peoria, IL,
East Pepperell, MA,
East Point, GA,
East Providence, RI,96.0%
East Quogue, NY,100.0%
East Rockaway, NY,103.9%
East Rocky Hill, NJ,
East Rutherford, NJ,104.3%
East San Gabriel, CA,98.0%
East Sandwich, MA,97.9%
East Setauket, NY,102.7%
East Stroudsburg, PA,
East Syracuse, NY,
East Troy, WI,
East Village, CT,98.4%
East Wenatchee, WA,
East Williston, NY,
East York, PA,
Eastchester, NY,104.4%
Eastern Goleta Valley, CA,95.8%
Eastgate, WA,
Eastham, MA,
Easthampton Town, MA,
Easthampton, MA,
Eastlake, OH,
Eastmont, WA,
Easton, MA,
Easton, MD,
Easton, PA,112.5%
Eastpointe, MI,96.2%
Eastport, NY,96.9%
Eastvale, CA,100.0%
Eastwood, MI,
Eatontown, NJ,102.0%
Eau Claire, WI,98.2%
Echelon, NJ,97.3%
Economy, PA,
Eden Isle, LA,91.1%
Eden Prairie, MN,99.3%
Eden, NC,
Eden, UT,
Eden, WI,100.0%
Edgartown, MA,
Edgemoor, DE,100.0%
Edgerton, WI,99.5%
Edgewater, CO,
Edgewater, FL,
Edgewater, MD,98.7%
Edgewater, NJ,100.2%
Edgewood, FL,
Edgewood, IN,
Edgewood, KY,
Edgewood, MD,100.8%
Edgewood, PA,
Edgewood, WA,
Edina, MN,97.6%
Edinboro, PA,
Edinburg, TX,
Edinburgh, IN,100.0%
Edison, NJ,107.3%
Edison, OH,
Edmond, OK,
Edmonds, WA,99.5%
Edwards, CO,97.3%
Edwardsville, IL,
Effingham, IL,
Egypt Lake-Leto, FL,93.8%
El Cajon, CA,99.0%
El Centro, CA,
El Cerrito, CA,
El Dorado Hills, CA,
El Dorado, AR,
El Dorado, KS,
El Lago, TX,98.5%
El Macero, CA,
El Monte, CA,102.7%
El Paso de Robles, CA,97.8%
El Paso, TX,95.7%
El Segundo, CA,
El Sobrante, CA,95.0%
El Verano, CA,
Elburn, IL,
Eldersburg, MD,96.3%
Eldridge, IA,
Elfers, FL,
Elgin, IL,100.5%
Elgin, TX,
Elizabeth City, NC,
Elizabeth, NJ,107.9%
Elizabethton, TN,99.1%
Elizabethtown, KY,
Elk City, OK,
Elk Grove Village, IL,101.6%
Elk Grove, CA,100.1%
Elk River, MN,
Elkhart Lake, WI,99.5%
Elkhart, IA,
Elkhart, IN,100.0%
Elkhorn, WI,98.4%
Elkins Park, PA,
Elko, NV,
Elkridge, MD,100.0%
Elkton, MD,
Ellensburg, WA,100.0%
Ellenton, FL,
Ellenville, NY,
Ellettsville, IN,
Ellicott City, MD,101.9%
Ellicottville, NY,
Ellisburg, NJ,
Ellisville, MO,106.9%
Ellwood City, PA,
Elm Grove, WI,98.8%
Elma Center, NY,100.9%
Elma, NY,100.9%
Elmhurst, IL,98.7%
Elmwood Park, IL,99.3%
Elmwood Park, NJ,97.2%
Elmwood, LA,92.8%
Elon, NC,
Elwood, IN,
Elwood, NY,
Ely, IA,95.7%
Elyria, OH,99.0%
Elysburg, PA,
Emerald Isle, NC,95.6%
Emerson, NJ,
Emeryville, CA,98.4%
Emigsville, PA,
Emsworth, PA,
Encinitas, CA,100.0%
Endicott, NY,87.6%
Endwell, NY,
Englewood, CO,97.3%
Englewood, FL,96.4%
Englewood, NJ,106.1%
Englewood, OH,100.3%
Englishtown, NJ,
Enlow, PA,
Enon, OH,
Ensley, FL,
Enterprise, NV,97.2%
Ephrata, PA,
Epping, NH,103.1%
Erie, CO,100.9%
Erie, PA,99.7%
Erlands Point-Kitsap Lake, WA,
Erlanger, KY,95.7%
Escondido, CA,99.2%
Esperance, WA,
Essex Junction, VT,100.9%
Essex Village, CT,
Essex, MA,
Essex, MD,99.2%
Essexville, MI,
Estero, FL,94.3%
Estes Park, CO,97.1%
Etowah, NC,75.4%
Euclid, OH,94.7%
Eufaula, AL,
Eugene, OR,101.2%
Euless, TX,
Eureka, MO,97.5%
Eustis, FL,
Evans, CO,100.0%
Evans, NY,
Evanston, IL,100.3%
Evansville, IN,97.3%
Evansville, WI,99.2%
Everett, MA,101.6%
Everett, WA,98.8%
Everglades, FL,
Evergreen Park, IL,
Evergreen, CO,99.5%
Evergreen, MT,
Everson, WA,
EWA Beach, HI,102.7%
EWA Gentry, HI,100.3%
Ewing, NJ,105.2%
Excelsior, MN,
Exeter, CA,
Exeter, NH,101.2%
Exeter, RI,100.5%
Fair Lakes, VA,100.7%
Fair Lawn, NJ,
Fair Oaks, CA,100.0%
Fair Oaks, GA,
Fair Oaks, VA,100.2%
Fairbanks, AK,100.9%
Fairborn, OH,103.6%
Fairbury, IL,
Fairfax, CA,
Fairfax, IA,98.4%
Fairfax, VA,99.5%
Fairfax, VT,
Fairfield Glade, TN,93.9%
Fairfield Harbour, NC,97.7%
Fairfield Plantation, GA,
Fairfield, CA,99.3%
Fairfield, OH,96.4%
Fairfield, PA,
Fairhaven, MA,
Fairhope, AL,99.7%
Fairland, MD,
Fairlawn, OH,96.1%
Fairmont, MN,
Fairport Harbor, OH,97.0%
Fairport, NY,100.1%
Fairview Heights, IL,
Fairview Park, OH,97.2%
Fairview Shores, FL,
Fairview, CA,93.9%
Fairview, NJ,98.8%
Fairview, NY,
Fairview, OR,100.0%
Fairview, PA,97.2%
Fairview, TN,
Fairway, KS,
Fairwood, MD,
Fairwood, WA,95.9%
Falcon Heights, MN,96.2%
Falcon Heights, OR,95.7%
Fall River, MA,100.3%
Fall River, WI,
Fallbrook, CA,
Falls Church, VA,99.8%
Falls View, WV,
Falmouth Foreside, ME,
Falmouth, MA,101.6%
Falmouth, ME,98.3%
Farmers Branch, TX,97.9%
Farmingdale, ME,
Farmingdale, NJ,
Farmingdale, NY,99.7%
Farmington Hills, MI,99.1%
Farmington, MI,102.2%
Farmington, MN,100.0%
Farmington, MO,100.0%
Farmington, NH,
Farmington, NM,
Farmington, NY,109.9%
Farmington, PA,
Farmington, UT,
Farragut, TN,96.2%
Fayetteville, AR,94.7%
Fayetteville, GA,100.0%
Fayetteville, NC,97.6%
Fayetteville, NY,97.6%
Feather Sound, FL,91.2%
Federal Heights, CO,
Federal Way, WA,96.0%
Fennimore, WI,
Fenton, MI,99.1%
Fenton, MO,
Fergus Falls, MN,
Ferguson, MO,
Fern Park, FL,100.0%
Fernandina Beach, FL,94.2%
Ferndale, MD,137.2%
Ferndale, MI,99.3%
Ferndale, WA,97.7%
Fernway, PA,
Ferry Pass, FL,
Ferrysburg, MI,
Festus, MO,106.6%
Fetters Hot Springs-Agua Caliente, CA,
Fife, WA,
Fillmore, CA,
Finderne, NJ,
Findlay, OH,97.9%
Finneytown, OH,100.0%
Fircrest, WA,
Fire Island, NY,
Firth, NE,
Firthcliffe, NY,
Fish Hawk, FL,97.0%
Fisher Island, FL,80.0%
Fisher, IL,
Fishers, IN,97.1%
Fishersville, VA,
Fishkill, NY,93.9%
Fiskdale, MA,
Fitchburg, MA,100.5%
Fitchburg, WI,101.3%
Five Corners, WA,
Flagler Beach, FL,
Flagstaff, AZ,103.4%
Flat Rock, MI,
Flat Rock, NC,98.9%
Fleming Island, FL,94.8%
Fletcher, NC,
Flint, MI,
Floral City, FL,
Floral Park, NY,97.6%
Florence-Graham, CA,
Florence, AL,95.1%
Florence, AZ,
Florence, KY,96.9%
Florence, NJ,98.5%
Florence, OR,
Florence, SC,
Florida,,95.0%
Florida City, FL,
Florida Ridge, FL,92.1%
Florin, CA,101.3%
Florissant, MO,93.4%
Flossmoor, IL,
Flower Hill, MD,99.2%
Flower Hill, NY,
Flower Mound, TX,
Flowood, MS,
Flushing, MI,99.1%
Flying Hills, PA,102.9%
Foley, AL,98.7%
Folly Beach, SC,91.2%
Folsom, CA,98.8%
Fond du Lac, WI,101.7%
Fontana-on-Geneva Lake, WI,99.2%
Fontana, CA,100.0%
Foothill Farms, CA,90.0%
Foothill Ranch, CA,99.0%
Fords, NJ,
Forest City, FL,
Forest Glen, MD,93.1%
Forest Grove, OR,100.0%
Forest Hills, MI,98.3%
Forest Hills, PA,89.9%
Forest Lake, MN,
Forest Park, GA,82.4%
Forest Park, IL,100.6%
Forest, VA,99.2%
Forestbrook, SC,96.2%
Forestville, MD,
Forestville, OH,97.8%
Forked River, NJ,
Forsyth, MO,
Fort Atkinson, WI,96.8%
Fort Bragg, CA,
Fort Collins, CO,99.2%
Fort Devens, MA,
Fort Lauderdale, FL,93.5%
Fort Lee, NJ,99.7%
Fort Mill, SC,
Fort Mitchell, KY,
Fort Montgomery, NY,100.0%
Fort Myers Beach, FL,93.9%
Fort Myers, FL,95.5%
Fort Pierce North, FL,
Fort Pierce, FL,95.0%
Fort Salonga, NY,
Fort Shawnee, OH,
Fort Smith, AR,98.1%
Fort Thomas, KY,95.5%
Fort Walton Beach, FL,95.0%
Fort Washington, MD,101.6%
Fort Washington, PA,
Fort Wayne, IN,97.6%
Fort Worth, TX,94.7%
Fort Wright, KY,99.1%
Foscoe, NC,99.6%
Foster City, CA,99.8%
Fostoria, OH,
Fountain Hills, AZ,97.0%
Fountain Valley, CA,
Fountainebleau, FL,97.1%
Four Bridges, OH,
Four Corners, FL,95.1%
Four Corners, MT,
Four Corners, OR,
Four Square Mile, CO,98.8%
Fowler, CA,105.4%
Fowler, MI,
Fowlerville, MI,
Fox Crossing, WI,100.6%
Fox Island, WA,
Fox Lake, IL,97.6%
Fox Lake, WI,
Fox Point, WI,
Fox River Grove, IL,
Foxborough, MA,100.0%
Foxfire, NC,
Framingham, MA,104.9%
Francisville, KY,
Franconia, VA,100.1%
Frankenmuth, MI,100.0%
Frankfort Square, IL,96.4%
Frankfort, IL,
Frankfort, IN,
Frankfort, KY,92.0%
Frankfort, MI,
Franklin Center, NJ,
Franklin Lakes, NJ,
Franklin Park, IL,
Franklin Park, NJ,
Franklin Park, PA,102.0%
Franklin Square, NY,
Franklin Town, MA,100.8%
Franklin, IN,
Franklin, MA,100.8%
Franklin, NH,
Franklin, NJ,
Franklin, TN,99.4%
Franklin, VA,
Franklin, WI,99.1%
Fraser, MI,98.2%
Frederick, MD,97.2%
Fredericksburg, TX,
Fredericksburg, VA,
Frederickson, WA,
Fredonia, NY,
Freedom Plains, NY,
Freedom, PA,
Freehold, NJ,105.6%
Freeland, MI,
Freeland, WA,96.7%
Freeport, IL,96.9%
Freeport, ME,
Freeport, NY,98.0%
Fremont, CA,102.0%
Fremont, IN,
Fremont, OH,
French Creek, NY,94.3%
French Valley, CA,101.3%
Fresno, CA,99.6%
Fridley, MN,93.2%
Friendship Heights Village, MD,97.5%
Friendship Village, MD,97.5%
Friendswood, TX,
Fripp Island, SC,97.5%
Frisco, CO,96.4%
Frisco, TX,92.9%
Frontenac, MO,
Fruit Heights, UT,99.9%
Fruita, CO,
Fruitport, MI,
Fruitville, FL,
Frytown, IA,
Fuller Heights, FL,100.0%
Fullerton, CA,100.1%
Fullerton, PA,107.0%
Fulton, IL,
Fulton, MD,
Fulton, MO,
Fulton, NY,
Fulton, TX,
Fuquay-Varina, NC,
Gages Lake, IL,100.9%
Gahanna, OH,98.6%
Gainesville, FL,92.7%
Gainesville, GA,98.7%
Gainesville, VA,101.1%
Gaithersburg, MD,98.9%
Galena, OH,
Gales Ferry, CT,
Galesburg, IL,
Galion, OH,
Gallatin Gateway, MT,
Gallatin, TN,98.4%
Gallitzin, PA,
Galt, CA,
Galveston, TX,96.1%
Gambrills, MD,
Gananda, NY,
Garden City Park, NY,
Garden City, ID,99.7%
Garden City, KS,
Garden City, MI,
Garden City, NY,94.6%
Garden City, SC,96.1%
Garden Grove, CA,98.7%
Garden Home-Whitford, OR,
Gardena, CA,99.2%
Gardere, LA,
Gardner, MA,100.0%
Gardnerville, NV,97.7%
Garfield, NJ,107.2%
Garland, TX,91.0%
Garrettsville, OH,
Garrison, MD,
Garrison, MN,
Gary, IN,
Gas City, IN,94.8%
Gastonia, NC,101.9%
Gates, NY,
Gateway, AK,
Gateway, FL,82.4%
Gatlinburg, TN,93.0%
Gautier, MS,
Gearhart, OR,
Genesee, CO,100.2%
Geneseo, IL,
Geneseo, NY,
Geneva-on-the-Lake, OH,
Geneva, IL,98.1%
Geneva, OH,
Genoa City, WI,97.7%
Genoa, IL,110.9%
Genoa, OH,
Georgetown, CO,
Georgetown, CT,
Georgetown, KY,100.0%
Georgetown, MA,
Georgetown, SC,
Georgetown, TX,98.4%
Georgia,,97.5%
Germantown Hills, IL,
Germantown, MD,100.6%
Germantown, TN,96.4%
Germantown, WI,99.3%
Gettysburg, PA,
Geyserville, CA,
Gibraltar, MI,
Gibsonia, PA,99.0%
Gibsonville, NC,
Gig Harbor, WA,100.0%
Gilbert, AZ,100.0%
Gilberts, IL,100.0%
Gilroy, CA,101.3%
Girard, OH,
Glacier, WA,
Gladeview, FL,
Gladstone, MO,
Gladstone, OR,
Glasco, NY,
Glassboro, NJ,
Glastonbury Center, CT,108.4%
Glen Allen, VA,99.1%
Glen Arbor, MI,102.9%
Glen Burnie, MD,97.7%
Glen Carbon, IL,
Glen Cove, NY,100.7%
Glen Ellyn, IL,100.3%
Glen Gardner, NJ,
Glen Head, NY,100.1%
Glen Mills, MA,
Glen Osborne, PA,
Glen Ridge, NJ,
Glenbeulah, WI,
Glencoe, IL,
Glendale Heights, IL,100.7%
Glendale, AZ,92.0%
Glendale, CA,99.4%
Glendale, CO,97.5%
Glendale, MO,
Glendale, OH,
Glendale, WI,90.7%
Glendora, CA,100.3%
Glendora, NJ,
Glenmont, MD,
Glenn Dale, MD,
Glenolden, PA,
Glens Falls North, NY,100.0%
Glens Falls, NY,96.7%
Glenshaw, PA,
Glenvar Heights, FL,96.6%
Glenview, IL,100.7%
Glenville, CT,100.1%
Glenville, NY,
Glenwood Landing, NY,
Glenwood Springs, CO,
Glenwood, IA,
Glenwood, IL,97.8%
Glocester, RI,100.2%
Gloucester Courthouse, VA,
Gloucester Point, VA,
Gloucester, MA,102.7%
Goddard, MD,
Godfrey, IL,89.8%
Goffstown, NH,
Gold Beach, OR,95.3%
Gold River, CA,97.9%
Golden Gate, FL,92.6%
Golden Glades, FL,94.8%
Golden Triangle, NJ,
Golden Valley, MN,94.2%
Golden, CO,99.5%
Goldenrod, FL,
Goldsboro, NC,
Goleta, CA,98.2%
Gonzales, LA,93.1%
Goodings Grove, IL,100.0%
Goodland, FL,
Goodlettsville, TN,100.0%
Goodrich, MI,95.2%
Goodyear, AZ,
Goose Creek Village, VA,
Goose Creek, SC,98.9%
Gordon Heights, NY,
Gorham, ME,101.1%
Goshen, IN,97.1%
Goshen, NY,
Goulds, FL,
Government Camp, OR,
Graford, TX,
Grafton, MA,100.4%
Grafton, OH,
Grafton, WI,98.1%
Graham, NC,
Graham, WA,
Gramercy, LA,
Granbury, TX,
Granby, MA,111.0%
Grand Blanc, MI,97.4%
Grand Haven, MI,96.1%
Grand Island, NY,
Grand Isle, LA,
Grand Junction, CO,95.7%
Grand Ledge, MI,100.0%
Grand Prairie, TX,
Grand Rapids, MI,98.4%
Grand Rapids, OH,
Grand River, OH,
Grand Rivers, KY,
Grand Terrace, CA,
Grandview Heights, OH,98.9%
Grandville, MI,101.3%
Grandwood Park, IL,
Granger, IA,
Granger, IN,98.4%
Granite City, IL,
Granite Falls, WA,
Granite, UT,
Grants Pass, OR,100.0%
Grantsville, UT,
Granville, OH,100.0%
Grapevine, TX,
Grass Lake, MI,96.7%
Grass Valley, CA,
Graton, CA,
Gray, ME,103.1%
Gray, TN,
Graymoor-Devondale, KY,
Grayslake, IL,94.0%
Grayson Valley, AL,
Grayson, KY,
Great Barrington, MA,
Great Falls, MT,
Great Neck Estates, NY,
Great Neck Plaza, NY,98.3%
Great Neck, NY,97.0%
Great Notch, NJ,
Great River, NY,100.0%
Great Valley, NY,
Greece, NY,
Greeley, CO,99.8%
Green Bay, WI,97.4%
Green Cove Springs, FL,82.0%
Green Haven, MD,97.7%
Green Meadows, OH,
Green Park, MO,
Green Township, OH,98.6%
Green Valley, AZ,97.8%
Green Valley, CA,
Green, OH,104.1%
Greenacres, FL,96.8%
Greenback, TN,
Greenbelt, MD,100.0%
Greenbriar, VA,
Greenbrier, TN,
Greenburgh, NY,102.5%
Greencastle, IN,97.3%
Greendale, IN,
Greendale, WI,102.5%
Greeneville, TN,98.9%
Greenfield Town, MA,100.9%
Greenfield, IN,98.2%
Greenfield, MA,100.9%
Greenfield, WI,100.3%
Greenport West, NY,90.9%
Greenport, NY,
Greens Farms, CT,111.9%
Greensboro, NC,97.4%
Greensburg, IN,
Greensburg, PA,91.7%
Greentown, OH,
Greentree, NJ,
Greenville, MI,
Greenville, NC,97.1%
Greenville, NY,102.0%
Greenville, OH,
Greenville, RI,93.6%
Greenville, SC,96.8%
Greenwich, CT,102.1%
Greenwich, OH,
Greenwood Village, CO,99.1%
Greenwood, IN,93.6%
Greenwood, MS,
Greenwood, SC,
Greer, SC,
Greilickville, MI,100.0%
Grenelefe, FL,94.4%
Gresham, OR,100.4%
Gretna, LA,
Gridley, IL,
Griffin, GA,94.7%
Griffith, IN,101.2%
Grimes, IA,100.1%
Grissom AFB, IN,
Groesbeck, OH,101.8%
Grosse Pointe Farms, MI,
Grosse Pointe Park, MI,
Grosse Pointe Woods, MI,100.0%
Grosse Pointe, MI,
Groton, CT,105.4%
Groton, MA,
Grove City, FL,
Grove City, OH,98.8%
Grove City, PA,
Groveland, FL,
Groveland, MA,
Groveport, OH,100.0%
Grover Beach, CA,100.8%
Grundy Center, IA,
Guerneville, CA,100.0%
Guilderland, NY,101.8%
Guilford Center, CT,98.8%
Gulf Breeze, FL,95.0%
Gulf Gate Estates, FL,90.1%
Gulf Gate, FL,94.9%
Gulf Park Estates, MS,
Gulf Shores, AL,96.9%
Gulf Stream, FL,
Gulfport, FL,94.1%
Gulfport, MS,96.9%
Gun Barrel City, TX,99.6%
Gunbarrel, CO,93.7%
Guntersville, AL,99.2%
Gurnee, IL,101.8%
Guttenberg, NJ,101.1%
Gypsum, CO,
Hacienda Heights, CA,97.4%
