city,state,townhouse
Copperas Cove, TX,100.0%
Coquille, OR,93.3%
Coral Gables, FL,
Coral Hills, MD,104.3%
Coral Springs, FL,97.4%
Coram, NY,
Coraopolis, PA,
Corbin, KY,
Corcoran, MN,97.2%
Cordaville, MA,
Cornelia, GA,
Cornelius, NC,98.9%
Cornelius, OR,
Cornwall, PA,98.6%
Cornwells Heights, PA,
Corona de Tucson, AZ,96.1%
Corona, CA,100.1%
Coronado, CA,100.0%
Corsicana, TX,
Corte Madera, CA,
Cortez, FL,
Cortland, IL,99.5%
Cortland, OH,
Cortlandt, NY,
Corvallis, OR,100.7%
Costa Mesa, CA,97.6%
Cotati, CA,101.0%
Coto de Caza, CA,
Cottage City, MD,
Cottage Grove, MN,99.5%
Cottage Grove, OR,92.2%
Cottage Grove, WI,98.5%
Cottonwood Heights, UT,96.3%
Cottonwood, AZ,
Cottonwood, CO,94.0%
Cottonwood, MN,
Council Bluffs, IA,100.4%
Country Club Estates, GA,
Country Club Hills, IL,103.2%
Country Club, FL,96.1%
Country Knolls, NY,
Country Walk, FL,99.3%
Countryside, IL,
Countryside, VA,99.7%
County Center, VA,98.0%
Coupeville, WA,100.0%
Covedale, OH,
Covina, CA,101.5%
Covington, GA,
Covington, KY,92.0%
Covington, WA,
Crab Orchard, TN,
Crafton, PA,
Craig, CO,
Cramerton, NC,98.1%
Crawford, NY,
Crawfordsville, IN,
Crawfordville, FL,101.5%
Creedmoor, NC,
Cresaptown, MD,
Crescent Bar, WA,
Cresskill, NJ,
Cressona, PA,76.6%
Crest Hill, IL,99.8%
Crestview Hills, KY,96.3%
Crestview, FL,
Crestwood Village, NJ,
Crestwood, IL,
Crestwood, KY,
Creswell, OR,
Crete, IL,
Cripple Creek, CO,
Crofton, MD,99.5%
Crompond, NY,
Crosby, TX,
Cross Lanes, WV,
Cross Plains, WI,
Cross Roads, PA,
Crosslake, MN,104.2%
Crossville, TN,
Croton-on-Hudson, NY,
Crowley, TX,98.1%
Crown Heights, NY,
Crown Point, IN,99.3%
Croydon, PA,107.0%
Crozet, VA,99.4%
Crumpton, MD,
Crystal Beach, NY,97.3%
Crystal Lake, IL,99.6%
Crystal, MN,100.0%
Cuba City, WI,
Cullman, AL,93.6%
Culpeper, VA,100.5%
Culver City, CA,99.1%
Cumberland, MD,110.0%
Cumbola, PA,
Cumming, GA,110.2%
Cupertino, CA,115.0%
Cutler Bay, FL,99.1%
Cuyahoga Falls, OH,98.8%
Cypress Gardens, FL,
Cypress Lake, FL,110.1%
Cypress, CA,101.9%
D'Iberville, MS,
Dacono, CO,
Dacula, GA,100.0%
Dade City, FL,
Dakota Dunes, SD,
Dakota Ridge, CO,99.3%
Dale City, VA,100.8%
Daleville, AL,100.0%
Daleville, VA,
Dallas, GA,
Dallas, NC,
Dallas, OR,101.5%
Dallas, TX,97.8%
Dallastown, PA,98.8%
Dalton, GA,103.0%
Daly City, CA,
Damascus, MD,100.5%
Damascus, OR,
Dana Point, CA,110.3%
Dandridge, TN,
Dania Beach, FL,97.6%
Danvers, MA,99.4%
Danville, CA,99.7%
Danville, IN,
Danville, KY,
Danville, PA,
Danville, WV,
Daphne, AL,100.0%
Darby, PA,95.8%
Darien, IL,100.7%
Darnestown, MD,
Dartmouth, MA,93.3%
Daufuskie Island, SC,96.8%
Dauphin Island, AL,
Dauphin, PA,
Davenport, FL,97.5%
Davenport, IA,100.0%
Davidson, NC,100.1%
Davidsonville, MD,
Davie, FL,97.8%
Davis, CA,
Dawsonville, GA,
Dayton, KY,
Dayton, MN,99.8%
Dayton, NJ,
Dayton, OH,97.5%
Daytona Beach Shores, FL,
Daytona Beach, FL,93.6%
De Motte, IN,96.7%
De Pere, WI,
De Soto, KS,
De Witt, NY,
Deadwood, SD,
Deans, NJ,
Dearborn, MI,
DeBary, FL,99.4%
DeBordieu Colony, SC,
Decatur, AL,95.1%
Decatur, AR,
Decatur, GA,99.0%
Decatur, TX,
DeCordova, TX,93.8%
Dedham, MA,100.2%
Deephaven, MN,
Deer Park, IL,
Deer Park, OH,
Deer Trail, CO,100.0%
Deerfield Beach, FL,96.6%
Deerfield, IL,
Deerfield, WI,
Deerwood, MN,98.8%
Deforest, WI,99.4%
DeFuniak Springs, FL,
DeKalb, IL,98.3%
Del Mar, CA,
Del Rio, CA,
Delafield, WI,
DeLand, FL,
Delano, MN,
Delano, PA,92.0%
Delaware,,100.9%
Delaware City, DE,
Delaware, OH,
Delhi Township, OH,
Dell Rapids, SD,
Delmar, IA,
Delmont, PA,
Delray Beach, FL,96.6%
Deltona, FL,
Demorest, GA,
Denham Springs, LA,
Denison, TX,
Dennis Port, MA,
Dennis, MA,95.2%
Dent, OH,103.0%
Denton, TX,97.6%
Denver, CO,98.1%
Denver, NC,
Denver, PA,104.0%
Depew, NY,
Derby, CO,99.1%
Derby, KS,97.7%
Derry, NH,
Derwood, MD,100.1%
Des Moines, IA,100.0%
Des Moines, WA,99.8%
Des Plaines, IL,98.5%
Desoto, TX,
Destin, FL,97.2%
Detroit, MI,62.5%
Devon, PA,
Dewey-Humboldt, AZ,
Diamond Bar, CA,98.4%
Diamond Beach, NJ,
Diamond Springs, CA,105.7%
Diamond, IL,101.8%
Diamondhead, MS,83.7%
Dickinson, ND,
Dickinson, TX,
Dickson, TN,
Dillon, CO,94.2%
Dillsboro, NC,
Dillsburg, PA,100.0%
Dilworthtown, PA,
Discovery Bay, CA,
Discovery-Spring Garden, MD,91.5%
District Heights, MD,101.6%
Dixon, CA,
Dixon, IL,97.7%
Dock Junction, GA,
Doctor Phillips, FL,99.4%
Dodge Center, MN,
Dolton, IL,103.1%
Dora, AL,
Doral, FL,98.4%
Doraville, GA,103.3%
Dormont, PA,
Dothan, AL,
Douglas, MA,
Douglassville, PA,
Douglasville, GA,86.3%
Dove Valley, CO,101.3%
Dover Beaches South, NJ,
Dover, DE,100.6%
Dover, ID,
Dover, MA,
Dover, NH,
Dover, NJ,
Dover, PA,
Dover, TN,
Downers Grove, IL,99.7%
Downey, CA,
Downingtown, PA,100.8%
Downs, IL,101.8%
Doylestown, PA,102.5%
Dracut, MA,102.3%
Drain, OR,95.9%
Draper, UT,99.8%
Drayton, SC,95.8%
Drexel Heights, AZ,
Drexel Hill, PA,99.4%
Drexel, NC,98.6%
Driggs, ID,
Druid Hills, GA,
Dry Ridge, OH,98.0%
Duarte, CA,99.6%
Dublin, CA,96.9%
Dublin, GA,
Dublin, PA,
Dubuque, IA,99.8%
Duck Key, FL,
Duck, NC,
Dudley, MA,
Duenweg, MO,
Dulles Town Center, VA,101.9%
Duluth, GA,99.2%
Dumbarton, VA,
Dumfries, VA,100.3%
Dumont, NJ,
Dunbar, WV,94.4%
Duncan, OK,
Duncan, SC,
Duncannon, PA,
Duncanville, TX,
Dundalk, MD,102.1%
Dundas, MN,
Dundee, FL,
Dunean, SC,
Dunedin, FL,97.2%
Dunlap, IL,
Dunn Loring, VA,100.0%
Dunn, NC,98.5%
Dunnellon, FL,
Dunwoody, GA,98.4%
DuPont, WA,99.2%
Durango, CO,99.6%
Durham, NC,99.4%
Durham, NH,
Duryea, PA,
Duvall, WA,99.5%
Duxbury, MA,
Dwight, IL,103.1%
Dyer, IN,99.2%
Dyersville, IA,94.3%
Eagan, MN,98.9%
Eagle Crest, OR,96.0%
Eagle Mountain, UT,100.1%
Eagle Point, OR,100.0%
Eagle, CO,99.7%
Eagle, ID,100.5%
Eagle, PA,102.5%
Eagleview, PA,97.9%
Eagleville, PA,104.0%
Easley, SC,95.5%
East Aurora, NY,
East Bangor, PA,
East Basin, UT,98.4%
East Bethel, MN,
East Bridgewater, MA,102.8%
East Chicago, IN,97.6%
East Cleveland, TN,
East Douglas, MA,
East Dundee, IL,
East Falmouth, MA,98.2%
East Foothills, CA,
East Franklin, NJ,
East Greenbush, NY,
East Greenville, PA,106.6%
East Gull Lake, MN,97.9%
East Hampton North, NY,
East Highland Park, VA,100.0%
East Hill-Meridian, WA,
East Islip, NY,
East Ithaca, NY,
East Kapolei, HI,
East Lake-Orient Park, FL,95.3%
East Lake, FL,96.3%
East Lansdowne, PA,100.0%
East Massapequa, NY,
East McKeesport, PA,
East Meadow, NY,
East Merrimack, NH,
East Missoula, MT,
East Moline, IL,103.9%
East Norriton, PA,98.5%
East Orange, NJ,
East Palo Alto, CA,
East Pasadena, CA,
East Peoria, IL,
East Pepperell, MA,100.0%
East Petersburg, PA,
East Pittsburgh, PA,
East Point, GA,100.0%
East Prospect, PA,102.6%
East Riverdale, MD,
East Rutherford, NJ,
East Sandwich, MA,
East Setauket, NY,100.0%
East Sonora, CA,
East Stroudsburg, PA,96.5%
East Wenatchee, WA,
East York, PA,98.2%
Eastchester, NY,
Eastern Goleta Valley, CA,
Eastgate, WA,
Eastham, MA,
Easthampton Town, MA,100.5%
Easthampton, MA,100.5%
Eastmont, WA,
Easton, MA,100.2%
Easton, MD,97.0%
Easton, PA,100.2%
Eastvale, CA,100.0%
Eaton, CO,97.9%
Eatontown, NJ,
Eau Claire, WI,
Echelon, NJ,104.4%
Economy, PA,
Eddystone, PA,
Eden Prairie, MN,99.1%
Eden, NC,
Eden, UT,
Edenburg, PA,
Edgartown, MA,
Edgemere, MD,105.2%
Edgemoor, DE,100.0%
Edgewater, CO,101.2%
Edgewater, FL,100.0%
Edgewater, MD,99.6%
Edgewater, NJ,94.6%
Edgewood, MD,99.9%
Edgewood, PA,
Edgewood, WA,
Edina, MN,100.0%
Edinburg, TX,
Edison, NJ,
Edmond, OK,99.0%
Edmonds, WA,100.0%
Edwards, CO,94.4%
Edwardsville, KS,
Effort, PA,
Egg Harbor City, NJ,
Egypt Lake-Leto, FL,96.6%
Egypt, PA,100.0%
El Cajon, CA,102.0%
El Campo, TX,
El Cerrito, CA,
El Dorado Hills, CA,
El Dorado, AR,
El Dorado, KS,
El Jebel, CO,92.9%
El Monte, CA,102.7%
El Paso de Robles, CA,
El Paso, IL,
El Paso, TX,97.3%
El Reno, OK,
El Segundo, CA,99.8%
El Sobrante, CA,
Elburn, IL,
Eldersburg, MD,100.8%
Eldorado at Santa Fe, NM,
Eldorado, PA,
Eldridge, IA,100.0%
Elgin, IL,100.4%
Elgin, TX,100.0%
Elizabeth City, NC,98.9%
Elizabeth, NJ,
Elizabethtown, PA,98.2%
Elizabethville, PA,
Elk City, OK,
Elk Grove Village, IL,101.1%
Elk Point, SD,95.8%
Elk Ridge, UT,99.5%
Elk River, MN,100.1%
Elkins Park, PA,99.7%
Elko New Market, MN,96.0%
Elko, NV,
Elkridge, MD,100.7%
Elkton, MD,100.5%
Elkton, VA,
Ellendale, MN,
Ellenton, FL,
Ellenville, NY,
Ellettsville, IN,
Ellicott City, MD,109.5%
Ellicottville, NY,
Ellisburg, NJ,
Elliston, VA,
Ellwood City, PA,
Elmer, NJ,
Elmhurst, IL,100.0%
Elmont, NY,
Elon, NC,
Eloy, AZ,94.0%
Elsmere, DE,100.5%
Elverson, PA,100.0%
Elwood, IL,104.7%
Elyria, OH,
Elysian, MN,
Emerald Isle, NC,98.2%
Emerson, NJ,
Emeryville, CA,109.3%
Emigsville, PA,
Emmaus, PA,105.5%
Emmett, ID,
Emmitsburg, MD,
Emporia, KS,
Emsworth, PA,
Encinitas, CA,99.8%
Endwell, NY,100.0%
Englewood, CO,100.0%
Englewood, FL,
Englewood, NJ,
Englewood, OH,97.1%
Englewood, PA,
Englishtown, NJ,
Enhaut, PA,
Enid, OK,
Enlow, PA,
Enola, PA,100.0%
Ensley, FL,93.9%
Enterprise, AL,98.4%
Enterprise, NV,99.7%
Enumclaw, WA,
Ephrata, PA,109.9%
Epping, NH,
Erie, CO,99.4%
Erlands Point-Kitsap Lake, WA,100.0%
Erlanger, KY,
Escalon, CA,
Escondido, CA,101.8%
Esperance, WA,96.2%
Essex Junction, VT,
Essex, MA,
Essex, MD,99.1%
Estacada, OR,
Estero, FL,96.3%
Estes Park, CO,98.3%
Etowah, NC,99.2%
Euclid, OH,107.9%
Eudora, KS,
Eugene, OR,100.4%
Euless, TX,95.0%
Eureka, IL,
Eustis, FL,98.2%
Evans, CO,100.9%
Evans, GA,94.5%
Evans, NY,
Evansburg, PA,
Evanston, IL,98.2%
Evansville, IN,
Evansville, WI,
Everett, MA,103.8%
Everett, WA,99.7%
Evergreen, CO,96.3%
Evergreen, MT,
Ewing, NJ,104.5%
Excelsior, MN,
Exeter, NH,
Exeter, PA,
Exton, PA,97.1%
Eyota, MN,
Factoryville, PA,
Fair Lakes, VA,104.1%
Fair Lawn, NJ,
Fair Oaks, CA,95.1%
Fair Oaks, GA,100.3%
Fair Oaks, VA,99.8%
Fairborn, OH,
Fairburn, GA,100.0%
Fairfax Station, VA,
Fairfax, VA,101.2%
Fairfax, VT,
Fairfield Glade, TN,97.8%
Fairfield Harbour, NC,
Fairfield Plantation, GA,
Fairfield, CA,101.9%
Fairfield, OH,98.0%
Fairfield, PA,
Fairforest, SC,
Fairhaven, MA,98.6%
Fairhope, AL,
Fairland, MD,103.7%
Fairlawn, OH,
Fairlawn, VA,102.8%
Fairless Hills, PA,
Fairmont, MN,
Fairmont, WV,100.8%
Fairmount Heights, MD,
Fairmount, NY,115.6%
Fairplay, CO,
Fairport, NY,
Fairview Park, OH,
Fairview-Ferndale, PA,
Fairview, CA,97.3%
Fairview, NJ,
Fairview, OR,99.5%
Fairview, TN,98.2%
Fairview, TX,95.9%
Fairwood, MD,101.3%
Fairwood, WA,
Falcon Heights, MN,
Falcon Heights, OR,
Fall River, MA,94.1%
Fallbrook, CA,
Falling Waters, WV,99.6%
Fallon, NV,
Falls Church, VA,100.2%
Fallston, MD,
Falmouth, MA,98.7%
Falmouth, VA,98.9%
Fanwood, NJ,
Faribault, MN,96.1%
Farmers Branch, TX,98.1%
Farmington, AR,94.5%
Farmington, MN,99.3%
Farmington, NH,
Farmington, NM,
Farmington, NY,103.7%
Farmington, UT,99.0%
Farragut, TN,100.0%
Fayetteville, AR,99.2%
Fayetteville, GA,98.1%
Fayetteville, NC,99.5%
Fayetteville, NY,
Fayetteville, PA,
Fearrington Village, NC,97.1%
Feather Sound, FL,
Federal Dam, MN,
Federal Heights, CO,
Federal Way, WA,99.9%
Felida, WA,
Felton, PA,
Fergus Falls, MN,99.0%
Fern Park, FL,97.6%
Fernandina Beach, FL,
Ferndale, MD,100.6%
Ferndale, WA,
Fernway, PA,97.9%
Ferry Pass, FL,99.4%
Fieldsboro, NJ,
Fife, WA,102.4%
Filer, ID,
Fillmore, CA,
Finneytown, OH,
Fircrest, WA,
Firestone, CO,97.7%
Firth, NE,
Fish Hawk, FL,95.7%
Fisher, IL,
Fishers, IN,95.9%
Fishersville, VA,101.0%
Fishkill, NY,
Fiskdale, MA,
Fitchburg, MA,102.1%
Fitchburg, WI,105.1%
Five Corners, WA,
Five Forks, SC,100.0%
Flagler Beach, FL,91.0%
Flagstaff, AZ,99.2%
Flat Rock, NC,
Fleetwood, PA,106.8%
Fleming Island, FL,99.4%
Flemington, NJ,
Fletcher, NC,
Florence, AL,98.3%
Florence, AZ,96.8%
Florence, KY,98.6%
Florence, NJ,97.0%
Florence, OR,97.5%
Florence, SC,
Florham Park, NJ,
Florida,,97.6%
Florida City, FL,97.3%
Florida Ridge, FL,
Floris, VA,
Flossmoor, IL,
Flourtown, PA,
Flower Hill, MD,102.5%
Flower Hill, NY,
Flower Mound, TX,98.7%
Flowery Branch, GA,99.9%
Flowing Wells, AZ,
Flowood, MS,
Flying Hills, PA,102.0%
Folcroft, PA,101.3%
Foley, AL,99.3%
Folly Beach, SC,96.6%
Folsom, CA,
Folsom, PA,
Fond du Lac, WI,104.4%
Fontana-on-Geneva Lake, WI,
Fontana, CA,
Foothill Farms, CA,
Foothill Ranch, CA,
Ford City, PA,
Fords, NJ,100.3%
Forest City, FL,100.0%
Forest Glen, MD,
Forest Grove, OR,
Forest Heights, MD,104.0%
Forest Lake, MN,98.2%
Forest Oaks, NC,98.6%
Forest Park, GA,100.0%
Forest Park, IL,100.0%
Forest, VA,100.5%
Forestbrook, SC,93.4%
Forestville, MD,104.8%
Forestville, OH,100.0%
Forestville, PA,
Forsgate, NJ,
Fort Collins, CO,99.2%
Fort Lauderdale, FL,95.2%
Fort Lee, NJ,100.7%
Fort Lupton, CO,100.1%
Fort Mill, SC,98.7%
Fort Mitchell, KY,
Fort Morgan, CO,100.4%
Fort Myers, FL,102.2%
Fort Pierce, FL,94.3%
Fort Pierre, SD,
Fort Salonga, NY,
Fort Smith, AR,
Fort Thomas, KY,
Fort Valley, GA,
Fort Walton Beach, FL,100.5%
Fort Washington, MD,100.0%
Fort Washington, PA,99.2%
Fort Wayne, IN,
Fort Worth, TX,98.4%
Fort Wright, KY,
Fortville, IN,94.6%
Foscoe, NC,
Foster City, CA,106.5%
Fountain Hill, PA,
Fountain Hills, AZ,98.7%
Fountain Inn, SC,103.1%
Fountain Springs, PA,
Fountain Valley, CA,102.6%
Fountain, CO,
Fountainebleau, FL,95.9%
Fountainhead-Orchard Hills, MD,
Four Corners, FL,97.9%
Four Corners, MD,
Four Corners, OR,
Four Oaks, NC,
Four Square Mile, CO,96.9%
Fowler, CA,
Fox Chapel, PA,
Fox Chase, PA,94.3%
Fox Crossing, WI,100.0%
Fox Island, WA,
Fox Lake, IL,99.7%
Fox River Grove, IL,100.0%
Fox River Valley Gardens, IL,
Fox Run, PA,
Foxborough, MA,
Foxfire, NC,
Frackville, PA,93.2%
Framingham, MA,98.8%
Francis, UT,
Francisville, KY,97.9%
Franconia, VA,100.4%
Frankfort Square, IL,
Frankfort, IL,98.5%
Frankfort, IN,
Frankfort, KY,
Franklin Farm, VA,101.8%
Franklin Lakes, NJ,
Franklin Park, IL,
Franklin Park, NJ,
Franklin Park, PA,102.0%
Franklin Town, MA,
Franklin, ID,
Franklin, IN,
Franklin, MA,
Franklin, NH,
Franklin, NJ,
Franklin, OH,
Franklin, TN,98.3%
Franklin, TX,
Franklin, VA,
Franklinton, NC,
Franklintown, PA,
Frazer, PA,
Frederica, DE,
Frederick, CO,
Frederick, MD,99.7%
Fredericksburg, PA,110.0%
Fredericksburg, TX,
Fredericksburg, VA,97.9%
Frederickson, WA,98.9%
Fredonia, NY,
Freeland, WA,
Freemansburg, PA,
Freeport, FL,99.1%
Freetown, MA,
Fremont, CA,103.1%
Fremont, NE,91.3%
French Creek, NY,
French Valley, CA,100.0%
Frenchtown, NJ,
Fresno, CA,100.0%
Fridley, MN,99.0%
Friendswood, TX,97.7%
Fripp Island, SC,
Frisco, CO,99.0%
Frisco, TX,97.8%
Front Royal, VA,98.5%
Frostburg, MD,
Fruit Cove, FL,96.5%
Fruit Heights, UT,100.3%
Fruita, CO,
Fruitland, ID,
Fruitvale, CO,
Fruitville, FL,
Frystown, PA,102.7%
Fuller Heights, FL,
Fullerton, CA,100.5%
Fullerton, PA,104.9%
Fulshear, TX,90.6%
Fulton, MD,100.2%
Fulton, MS,
Fulton, TX,
Fultondale, AL,98.5%
Funkstown, MD,
Fuquay-Varina, NC,98.5%
Gadsden, AL,
Gages Lake, IL,
Gainesville, FL,97.0%
Gainesville, GA,96.3%
Gainesville, VA,100.5%
Gaithersburg, MD,100.9%
Galesburg, IL,
Galeville, NY,
Gallatin, TN,100.0%
Galt, CA,
Galveston, TX,87.1%
Gambrills, MD,
Gananda, NY,
Gantt, SC,
Garden City, ID,98.8%
Garden City, KS,
Garden City, NY,
Garden City, SC,95.6%
Garden Grove, CA,99.3%
Garden Home-Whitford, OR,
Gardena, CA,102.3%
Gardendale, AL,
Gardere, LA,91.7%
Gardner, KS,
Gardner, MA,100.0%
Gardnerville Ranchos, NV,
Gardnerville, NV,100.0%
Garfield, NJ,
Garland, TX,98.5%
Garland, UT,
Garner, NC,97.8%
Garrison, MD,101.9%
Garrison, MN,
Gary, IN,
Gastonia, NC,99.4%
Gastonville, PA,
Gateway, FL,94.0%
Gatlinburg, TN,96.1%
Geddes, NY,114.3%
Gem Lake, MN,
Genesee, CO,
Geneseo, IL,
Geneseo, NY,
Geneva, IL,98.6%
Genoa, IL,
George Mason, VA,
Georgetown, CO,
Georgetown, GA,100.0%
Georgetown, IL,100.0%
Georgetown, KY,99.1%
Georgetown, MA,
Georgetown, SC,
Georgetown, TX,97.3%
Georgia,,98.8%
Germantown Hills, IL,
Germantown, MD,101.4%
Germantown, TN,
Gettysburg, PA,
Gibsonia, PA,100.6%
Gibsonton, FL,98.5%
Gibsonville, NC,99.1%
Gifford, FL,
Gifford, IL,
Gig Harbor, WA,100.2%
Gilbert, AZ,98.5%
Gilbert, IA,
Gilberton, PA,
Gilberts, IL,97.5%
Gilbertsville, PA,100.0%
Gilcrest, CO,
Gilmer, TX,
Gilroy, CA,
Girardville, PA,88.5%
Gladstone, MO,
Gladstone, OR,101.2%
Glasco, NY,98.8%
Glasgow, DE,99.0%
Glasgow, KY,
Glassboro, NJ,102.6%
Glassmanor, MD,99.6%
Glassport, PA,
Glen Allen, VA,99.2%
Glen Burnie, MD,99.2%
Glen Cove, NY,100.0%
Glen Ellyn, IL,105.8%
Glen Head, NY,
Glen Raven, NC,
Glen Rock, NJ,
Glen Rock, PA,
Glenarden, MD,
Glenbrook, NV,
Glenburn, ND,
Glenburn, PA,99.6%
Glencoe, IL,96.6%
Glencoe, MN,97.2%
Glendale Heights, IL,103.7%
Glendale, AZ,98.4%
Glendale, CA,110.6%
Glendale, CO,
Glendale, OH,
Glendora, CA,103.2%
Gleneagle, CO,
Glenmont, MD,101.3%
Glenmoore, PA,
Glenn Dale, MD,99.2%
Glenolden, PA,102.4%
Glens Falls North, NY,101.1%
Glenside, PA,105.5%
Glenvar Heights, FL,
Glenview, IL,101.0%
Glenville, NY,
Glenwood Springs, CO,100.0%
Glenwood, IA,
Gloucester City, NJ,99.6%
Gloucester Courthouse, VA,98.5%
Gloucester Point, VA,
Gloucester, MA,100.0%
Goddard, KS,
Goddard, MD,
Gold Bar, WA,
Gold Beach, OR,
Gold Canyon, AZ,100.2%
Gold Hill, OR,
Gold River, CA,
Golden Glades, FL,
Golden Triangle, NJ,
Golden Valley, MN,103.4%
Golden, CO,99.3%
Golden's Bridge, NY,
Goldenrod, FL,
Goldsboro, NC,94.2%
Goldsboro, PA,
Goleta, CA,97.2%
Golf Manor, OH,97.1%
Gonzales, LA,
Gonzalez, FL,
Goodhue, MN,
Goodings Grove, IL,96.9%
Goodlettsville, TN,100.6%
Goodview, MN,
Goodyear, AZ,97.3%
Goose Creek Village, VA,99.9%
Goose Creek, SC,99.8%
Gordon, PA,
Gotha, FL,
Goulding, FL,
Goulds, FL,99.1%
Governors Club, NC,
Governors Village, NC,
Grafton, MA,100.6%
Graham, NC,98.0%
Grain Valley, MO,
Gramercy, LA,
Granbury, TX,96.5%
Granby, MA,
Grand Island, NE,
Grand Island, NY,98.4%
Grand Junction, CO,100.1%
Grand Meadow, MN,98.7%
Grand Prairie, TX,98.2%
Grand Rapids, MN,100.0%
Grand Terrace, CA,101.3%
Grandview, MO,
Grandwood Park, IL,105.6%
Granger, IN,
Granite Bay, CA,
Granite Falls, NC,
Granite Falls, WA,
Granite, UT,92.1%
Graniteville, SC,100.0%
Grant Park, IL,
Grantley, PA,
Grants Pass, OR,
Grantsville, UT,102.7%
Grapevine, TX,96.2%
Grasonville, MD,
Grass Valley, CA,
Gratz, PA,
Gray, TN,
Grayslake, IL,99.0%
Grayson Valley, AL,100.0%
Grayson, GA,
Great Falls, MT,
Great Neck Plaza, NY,
Great Notch, NJ,
Greatwood, TX,
Greece, NY,
Greeley, CO,99.3%
Green Bay, WI,100.1%
Green Haven, MD,101.2%
Green Hill, TN,
Green Township, OH,103.0%
Green Valley, AZ,98.9%
Green Valley, CA,
Green, OH,
Greenacres, FL,96.7%
Greenbelt, MD,100.7%
Greenbriar, VA,
Greenbrier, TN,
Greencastle, PA,
Greeneville, TN,100.0%
Greenfield Town, MA,
Greenfield, IN,
Greenfield, MA,
Greenfield, MN,
Greenfield, NY,
Greenfield, WI,
Greenhills, OH,105.5%
Greenport, NY,
Greensboro, NC,98.6%
Greensburg, KY,
Greensburg, PA,100.0%
Greentree, NJ,101.6%
Greenville, DE,
Greenville, NC,98.9%
Greenville, OH,
Greenville, SC,98.0%
Greenville, TX,
Greenwood Village, CO,98.9%
Greenwood, IN,99.8%
Greenwood, LA,
Greenwood, MS,
Greenwood, SC,
Greer, SC,98.6%
Grenelefe, FL,
Gresham Park, GA,
Gresham, OR,98.8%
Grier City, PA,
Griffin, GA,98.7%
Griffith, IN,96.5%
Grill, PA,
Grimes, IA,
Grissom AFB, IN,
Groesbeck, OH,
Groton, MA,114.3%
Grottoes, VA,99.0%
Groveland, FL,96.0%
Groveland, MA,
Grover Beach, CA,
Groveton, VA,
Grovetown, GA,98.5%
Guilderland, NY,102.0%
Guilford, PA,
Gulf Breeze, FL,
Gulf Gate Estates, FL,
Gulf Gate, FL,
Gulf Shores, AL,95.2%
Gulfport, FL,99.4%
Gulfport, MS,99.1%
Gun Barrel City, TX,
Gunbarrel, CO,99.0%
Guntersville, AL,
Gurnee, IL,102.2%
Guttenberg, NJ,
Gypsum, CO,
Hacienda Heights, CA,
Hackensack, MN,113.4%
Hackensack, NJ,
Haddon Heights, NJ,
Haddonfield, NJ,
Hagerstown, MD,98.1%
Hailey, ID,
Haines City, FL,97.2%
Hainesville, IL,
Halethorpe, MD,101.7%
Half Moon Bay, CA,
Half Moon, NC,
Halfmoon, NY,101.5%
Halfway House, PA,101.4%
Halfway, MD,100.0%
Halifax, MA,98.0%
Halifax, PA,100.0%
Hallam, PA,100.0%
Hallandale Beach, FL,96.4%
Halls, TN,
Haltom City, TX,99.5%
Ham Lake, MN,97.5%
Hamburg, NJ,
Hamburg, NY,
Hamburg, PA,125.0%
Hamilton Square, NJ,102.2%
Hamilton, MA,95.2%
Hamilton, OH,100.0%
Hamilton, VA,
Hammond, IN,100.0%
Hammond, LA,96.6%
Hammond, WI,
Hammonton, NJ,101.5%
Hamorton, PA,
Hampshire, IL,100.8%
Hampstead, MD,97.9%
Hampstead, NC,
Hampton Beach, NH,
Hampton Manor, NY,
Hampton, GA,
Hampton, IL,
Hampton, MD,
Hampton, NH,
Hampton, VA,100.4%
Hanahan, SC,99.7%
Hancock, MD,
Hanford, CA,
Hanna City, IL,
Hanover Park, IL,101.7%
Hanover, MA,94.6%
Hanover, MD,
Hanover, MN,97.4%
Hanover, NH,
Hanover, PA,104.5%
Hapeville, GA,100.0%
Happy Valley, OR,97.0%
Harahan, LA,
Harbor Island, SC,98.1%
Hardeeville, SC,99.3%
Harker Heights, TX,
Harlem, GA,
Harleysville, PA,99.6%
Harlingen, TX,
Harrington Park, NJ,
Harrington, DE,
Harrisburg, NC,98.9%
Harrisburg, OR,100.0%
Harrisburg, PA,98.1%
Harrisburg, SD,97.1%
Harrison, IL,
Harrisonburg, VA,101.9%
Harrisonville, MO,
Harrisville, UT,100.4%
Hartford, SD,
Hartselle, AL,98.5%
Harvard, IL,100.7%
Harvard, MA,100.3%
Harvest, AL,
Harvey, LA,
Harveys Lake, PA,
Harwich Port, MA,
Harwich, MA,
Hasbrouck Heights, NJ,
Hastings, MN,101.0%
Hastings, NE,
Hatboro, PA,102.1%
Hatfield, MA,
Hatfield, PA,108.2%
Hauppauge, NY,
Havelock, NC,
Haverhill, MA,101.2%
Haverstraw, NY,
Havre de Grace, MD,99.8%
Hawaii,,98.3%
Hawaiian Gardens, CA,95.2%
Haworth, NJ,
Hawthorn Woods, IL,
Hawthorne, CA,98.8%
Hawthorne, NJ,
Hayden, AZ,53.6%
Hayden, CO,97.2%
Hayden, ID,97.8%
Hayesville, OR,
Hayfield, MN,101.9%
Hayfield, VA,
Haymarket, VA,100.8%
Hays, KS,
Hayti, PA,
